Implementation,Complie,Error
human_eval_052_7.mlw,[],
human_eval_031_4.mlw,['Module Division not found in library int'],"Module Division not found in library int
"
human_eval_085_9.mlw,['Module Filter not found in library list'],"Module Filter not found in library list
"
human_eval_152_2.mlw,"[""unbound function or predicate symbol 'reverse'""]","unbound function or predicate symbol 'reverse'
"
human_eval_139_8.mlw,['syntax error'],"syntax error
"
human_eval_035_1.mlw,"['=======================TestCases=====================', '', '    For the given implementation, some of testcases failed. Here are the list of failed testcases:', '    for input Cons ((Cons 7 (Cons 7 (Cons 3 (Cons 5 (Cons 7 (Cons 2 (Cons 7 (Cons 1 (Cons 7 (Nil)))))))))); the output we obtained with current implementation is 7; but the expected output is 7)', 'for input Cons ((Cons 0 (Cons (-10) (Cons 10 (Cons (-10) (Cons 0 (Nil)))))); the output we obtained with current implementation is 10; but the expected output is 10)', ' ', '    Please revise the current implementation to fix the problem.']","=======================TestCases=====================

    For the given implementation, some of testcases failed. Here are the list of failed testcases:
    for input Cons ((Cons 7 (Cons 7 (Cons 3 (Cons 5 (Cons 7 (Cons 2 (Cons 7 (Cons 1 (Cons 7 (Nil)))))))))); the output we obtained with current implementation is 7; but the expected output is 7)
for input Cons ((Cons 0 (Cons (-10) (Cons 10 (Cons (-10) (Cons 0 (Nil)))))); the output we obtained with current implementation is 10; but the expected output is 10)
 
    Please revise the current implementation to fix the problem.
"
human_eval_159_10.mlw,"['This expression has type list.List.list int,', 'but is expected to have type list.List.list ()']","This expression has type list.List.list int,
but is expected to have type list.List.list ()
"
human_eval_139_9.mlw,[],
human_eval_152_3.mlw,"[""Type mismatch between list.List.list int and list.List.list 'a""]","Type mismatch between list.List.list int and list.List.list 'a
"
human_eval_085_8.mlw,"[""unbound function or predicate symbol 'map'""]","unbound function or predicate symbol 'map'
"
human_eval_008_1.mlw,[],
human_eval_031_5.mlw,['Module Division not found in library int'],"Module Division not found in library int
"
human_eval_052_6.mlw,"[""Type mismatch between list.List.list int and list.List.list 'a""]","Type mismatch between list.List.list int and list.List.list 'a
"
human_eval_031_7.mlw,['Module Division not found in library int'],"Module Division not found in library int
"
human_eval_052_4.mlw,['Logical symbol fold_left is used in a non-ghost context'],"Logical symbol fold_left is used in a non-ghost context
"
human_eval_008_3.mlw,"[""unbound function or predicate symbol 'nth_my'""]","unbound function or predicate symbol 'nth_my'
"
human_eval_152_1.mlw,['syntax error'],"syntax error
"
human_eval_035_3.mlw,"['=======================TestCases=====================', '', '    For the given implementation, some of testcases failed. Here are the list of failed testcases:', '    for input Cons ((Cons 7 (Cons 7 (Cons 3 (Cons 5 (Cons 7 (Cons 2 (Cons 7 (Cons 1 (Cons 7 (Nil)))))))))); the output we obtained with current implementation is 7; but the expected output is 7)', 'for input Cons ((Cons 0 (Cons (-10) (Cons 10 (Cons (-10) (Cons 0 (Nil)))))); the output we obtained with current implementation is 10; but the expected output is 10)', ' ', '    Please revise the current implementation to fix the problem.']","=======================TestCases=====================

    For the given implementation, some of testcases failed. Here are the list of failed testcases:
    for input Cons ((Cons 7 (Cons 7 (Cons 3 (Cons 5 (Cons 7 (Cons 2 (Cons 7 (Cons 1 (Cons 7 (Nil)))))))))); the output we obtained with current implementation is 7; but the expected output is 7)
for input Cons ((Cons 0 (Cons (-10) (Cons 10 (Cons (-10) (Cons 0 (Nil)))))); the output we obtained with current implementation is 10; but the expected output is 10)
 
    Please revise the current implementation to fix the problem.
"
